name,id,imageurl,xdescription,ydescription,height,category,weight,typeofpokemon,weaknesses,evolutions,abilities,genderless,cycles,egg_groups,evolvedfrom,reason,base_exp,classification,percent_male,percent_female,abilities_hidden,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,description,status,total_points,base_friendship,growth_rate,effectiveness
Metapod,#011,https://assets.pokemon.com/assets/cms2/img/pokedex/full/011.png,The shell covering this Pokémon's body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,The shell covering this Pokémon's body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,"2' 04""",Cocoon,21.8 lbs,['Bug'],"['Fire', 'Flying', 'Rock']","['#010', '#011', '#012']",['Shed Skin'],0,15 ,Bug ,#010,(Level 7),72,Cocoon Pokémon,50.2,49.8,,120,3840,50,20,55,25,25,30,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack.",Normal,405,70,Medium Slow,"[100, 50, 50, 200, 200, 50, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 50, 100]"
Butterfree,#012,https://assets.pokemon.com/assets/cms2/img/pokedex/full/012.png,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.","Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.","3' 07""",Butterfly,70.5 lbs,"['Bug', 'Flying']","['Rock', 'Electric', 'Fire', 'Flying', 'Ice']","['#010', '#011', '#012']",['Compound Eyes'],0,15 ,Bug ,#011,(Level 10),178,Butterfly Pokémon,50.2,49.8,Tinted Lens,45,3840,60,45,50,90,80,70,"In battle, it flaps its wings at great speed to release highly toxic dust into the air.",Normal,530,70,Medium Slow,"[100, 50, 50, 200, 200, 50, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 50, 100]"
Weedle,#013,https://assets.pokemon.com/assets/cms2/img/pokedex/full/013.png,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,"1' 00""",Hairy Bug,7.1 lbs,"['Bug', 'Poison']","['Fire', 'Flying', 'Psychic', 'Rock']","['#013', '#014', '#015']",['Shield Dust'],0,15 ,Bug ,,,39,Hairy Pokémon,50,50,Run Away,255,3840,40,35,30,20,20,50,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.,Normal,630,70,Medium Slow,"[100, 50, 50, 200, 200, 50, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 50, 100]"
Kakuna,#014,https://assets.pokemon.com/assets/cms2/img/pokedex/full/014.png,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.","Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.","2' 00""",Cocoon,22.0 lbs,"['Bug', 'Poison']","['Fire', 'Flying', 'Psychic', 'Rock']","['#013', '#014', '#015']",['Shed Skin'],0,15 ,Bug ,#013,(Level 7),72,Cocoon Pokémon,50,50,,120,3840,45,25,50,25,25,35,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy.",Normal,195,70,Medium Fast,"[100, 200, 100, 100, 50, 100, 50, 100, 50, 200, 100, 100, 200, 100, 100, 100, 100, 100]"
Beedrill,#015,https://assets.pokemon.com/assets/cms2/img/pokedex/full/015.png,"Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.","Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.","3' 03""",Poison Bee,65.0 lbs,"['Bug', 'Poison']","['Fire', 'Flying', 'Psychic', 'Rock']","['#013', '#014', '#015']",['Swarm'],0,15 ,Bug ,#014,(Level 10),178,Poison Bee Pokémon,50,50,Sniper,45,3840,65,90,40,45,80,75,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,Normal,205,70,Medium Fast,"[100, 200, 100, 100, 50, 100, 50, 100, 50, 200, 100, 100, 200, 100, 100, 100, 100, 100]"
Pidgey,#016,https://assets.pokemon.com/assets/cms2/img/pokedex/full/016.png,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.","Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.","1' 00""",Tiny Bird,4.0 lbs,"['Normal', 'Flying']","['Electric', 'Ice', 'Rock']","['#016', '#017', '#018']",['Keen Eye'],0,15 ,Flying ,,,50,Tiny Bird Pokémon,50,50,Big Pecks,255,3840,40,45,40,35,35,56,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.",Normal,395,70,Medium Fast,"[100, 200, 100, 200, 25, 200, 25, 100, 0, 200, 100, 50, 400, 100, 100, 100, 100, 100]"
Pidgeotto,#017,https://assets.pokemon.com/assets/cms2/img/pokedex/full/017.png,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.","Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.","3' 07""",Bird,66.1 lbs,"['Normal', 'Flying']","['Electric', 'Ice', 'Rock']","['#016', '#017', '#018']",['Keen Eye'],0,15 ,Flying ,#016,(Level 18),122,Bird Pokémon,50,50,Big Pecks,120,3840,63,60,55,50,50,71,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.,Normal,195,70,Medium Fast,"[100, 200, 100, 100, 25, 100, 25, 50, 100, 200, 200, 50, 200, 100, 100, 100, 100, 50]"
Pidgeot,#018,https://assets.pokemon.com/assets/cms2/img/pokedex/full/018.png,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.","This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.","4' 11""",Bird,87.1 lbs,"['Normal', 'Flying']","['Electric', 'Ice', 'Rock']","['#016', '#017', '#018']",['Keen Eye'],0,15 ,Flying ,#017,(Level 36),216,Bird Pokémon,50,50,Big Pecks,45,3840,83,80,75,70,70,101,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons.",Normal,205,70,Medium Fast,"[100, 200, 100, 100, 25, 100, 25, 50, 100, 200, 200, 50, 200, 100, 100, 100, 100, 50]"
Rattata,#019,https://assets.pokemon.com/assets/cms2/img/pokedex/full/019.png,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.","Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.","1' 00""",Mouse,7.7 lbs,['Normal'],['Fighting'],"['#019', '#020']",['Run Away'],0,15 ,Field ,,,51,Mouse Pokémon,50,50,Hustle,255,3840,30,56,35,25,35,72,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area.",Normal,395,70,Medium Fast,"[100, 200, 100, 100, 25, 100, 25, 50, 100, 200, 200, 50, 200, 100, 100, 100, 100, 50]"
Raticate,#020,https://assets.pokemon.com/assets/cms2/img/pokedex/full/020.png,"Raticate's sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.","Raticate's sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.","2' 04""",Mouse,40.8 lbs,['Normal'],['Fighting'],"['#019', '#020']",['Run Away'],0,15 ,Field ,#019,(Level 20),145,Mouse Pokémon,50,50,Hustle,127,3840,55,81,60,50,70,97,"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey.",Normal,495,70,Medium Fast,"[100, 200, 100, 100, 25, 100, 25, 50, 100, 200, 200, 50, 200, 100, 100, 100, 100, 50]"
Spearow,#021,https://assets.pokemon.com/assets/cms2/img/pokedex/full/021.png,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.","Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.","1' 00""",Tiny Bird,4.4 lbs,"['Normal', 'Flying']","['Electric', 'Ice', 'Rock']","['#021', '#022']",['Keen Eye'],0,15 ,Flying ,,,52,Tiny Bird Pokémon,50,50,Sniper,255,3840,40,60,30,31,31,70,"Inept at flying high. However, it can fly around very fast to protect its territory.",Normal,251,70,Medium Slow,"[100, 100, 100, 200, 50, 200, 100, 100, 0, 100, 100, 50, 200, 0, 100, 100, 100, 100]"
Fearow,#022,https://assets.pokemon.com/assets/cms2/img/pokedex/full/022.png,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,"3' 11""",Beak,83.8 lbs,"['Normal', 'Flying']","['Electric', 'Ice', 'Rock']","['#021', '#022']",['Keen Eye'],0,15 ,Flying ,#021,(Level 20),155,Beak Pokémon,50,50,Sniper,90,3840,65,90,65,61,61,100,"A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly.",Normal,349,70,Medium Slow,"[100, 100, 100, 200, 50, 200, 100, 100, 0, 100, 100, 50, 200, 0, 100, 100, 100, 100]"
Ekans,#023,https://assets.pokemon.com/assets/cms2/img/pokedex/full/023.png,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,"6' 07""",Snake,15.2 lbs,['Poison'],"['Ground', 'Psychic']","['#023', '#024']",['Shed Skin'],0,20 ,"Dragon, Field ",,,58,Snake Pokémon,50,50,Unnerve,255,5120,35,60,44,40,54,55,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.",Normal,479,70,Medium Slow,"[100, 100, 100, 200, 50, 200, 100, 100, 0, 100, 100, 50, 200, 0, 100, 100, 100, 100]"
Arbok,#024,https://assets.pokemon.com/assets/cms2/img/pokedex/full/024.png,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.","This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.","11' 06""",Cobra,143.3 lbs,['Poison'],"['Ground', 'Psychic']","['#023', '#024']",['Shed Skin'],0,20 ,"Dragon, Field ",#023,(Level 22),157,Cobra Pokémon,50,50,Unnerve,90,5120,60,95,69,65,79,80,The frightening patterns on its belly have been studied. Six variations have been confirmed.,Normal,579,70,Medium Slow,"[100, 100, 100, 200, 50, 200, 100, 100, 0, 100, 100, 50, 200, 0, 100, 100, 100, 100]"
Pikachu,#025,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.,"Whenever Pikachu comes across something new, it blasts it with a jolt of electricity. If you come across a blackened berry, it's evidence that this Pokémon mistook the intensity of its charge.","1' 04""",Mouse,13.2 lbs,['Electric'],['Ground'],"['#172', '#025', '#026']",['Static'],0,10 ,"Fairy, Field ",#172,(high Friendship),112,Mouse Pokémon,50.2,49.8,Lightning Rod,190,2560,35,55,40,50,50,90,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.,Normal,253,70,Medium Fast,"[100, 100, 100, 100, 100, 100, 200, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100]"
Raichu,#026,https://assets.pokemon.com/assets/cms2/img/pokedex/full/026.png,This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.,"If the electrical sacs become excessively charged, Raichu plants its tail in the ground and discharges. Scorched patches of ground will be found near this Pokémon's nest.","2' 07""",Mouse,66.1 lbs,['Electric'],['Ground'],"['#172', '#025', '#026']",['Static'],0,10 ,"Fairy, Field ",#025,(use Thunder Stone),218,Mouse Pokémon,50.2,49.8,Lightning Rod,75,2560,60,90,55,90,80,110,Its long tail serves as a ground to protect itself from its own high-voltage power.,Normal,253,70,Medium Fast,"[100, 100, 100, 100, 100, 100, 400, 100, 100, 100, 0, 200, 100, 0, 100, 50, 100, 200]"
Sandshrew,#027,https://assets.pokemon.com/assets/cms2/img/pokedex/full/027.png,"Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep.","Sandshrew's body is configured to absorb water without waste, enabling it to survive in an arid desert. This Pokémon curls up to protect itself from its enemies.","2' 00""",Mouse,26.5 lbs,['Ground'],"['Grass', 'Ice', 'Water']","['#027', '#028']",['Sand Veil'],0,20 ,Field ,,,60,Mouse Pokémon,50.2,49.8,Snow Cloak- Slush Rush,255,5120,50,75,85,20,30,40,"It loves to bathe in the grit of dry, sandy areas. By sand bathing, the Pokémon rids itself of dirt and moisture clinging to its body.",Normal,413,70,Medium Fast,"[100, 100, 100, 100, 100, 100, 200, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100]"
Sandslash,#028,https://assets.pokemon.com/assets/cms2/img/pokedex/full/028.png,"Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.","Sandslash's body is covered by tough spikes, which are hardened sections of its hide. Once a year, the old spikes fall out, to be replaced with new spikes that grow out from beneath the old ones.","3' 03""",Mouse,65.0 lbs,['Ground'],"['Grass', 'Ice', 'Water']","['#027', '#028']",['Sand Veil'],0,20 ,Field ,#027,(Level 22),158,Mouse Pokémon,50.2,49.8,Snow Cloak- Slush Rush,90,5120,75,100,110,45,55,65,"The drier the area Sandslash lives in, the harder and smoother the Pokémon’s spikes will feel when touched.",Normal,413,70,Medium Fast,"[100, 100, 100, 100, 100, 100, 400, 100, 100, 100, 0, 200, 100, 0, 100, 50, 100, 200]"
Nidoran♀,#029,https://assets.pokemon.com/assets/cms2/img/pokedex/full/029.png,"Nidoran♀ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokémon. When enraged, it releases a horrible toxin from its horn.","Nidoran♀ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokémon. When enraged, it releases a horrible toxin from its horn.","1' 04""",Poison Pin,15.4 lbs,['Poison'],"['Ground', 'Psychic']","['#029', '#030', '#031']",['Poison Point'],0,20 ,"Field, Monster ",,,55,Poison Pin Pokémon,0,100,Hustle,235,5120,55,47,52,40,40,41,"Females are more sensitive to smells than males. While foraging, they’ll use their whiskers to check wind direction and stay downwind of predators.",Normal,262,70,Medium Fast,"[100, 100, 100, 200, 50, 200, 100, 100, 0, 100, 100, 50, 200, 0, 100, 100, 100, 100]"
Nidorina,#030,https://assets.pokemon.com/assets/cms2/img/pokedex/full/030.png,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.","When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.","2' 07""",Poison Pin,44.1 lbs,['Poison'],"['Ground', 'Psychic']","['#029', '#030', '#031']",['Poison Point'],0,20 ,Undiscovered ,#029,(Level 16),128,Poison Pin Pokémon,0,100,Hustle,120,5120,70,62,67,55,55,56,The horn on its head has atrophied. It’s thought that this happens so Nidorina’s children won’t get poked while their mother is feeding them.,Normal,442,70,Medium Fast,"[100, 100, 100, 200, 50, 200, 100, 100, 0, 100, 100, 50, 200, 0, 100, 100, 100, 100]"
Nidoqueen,#031,https://assets.pokemon.com/assets/cms2/img/pokedex/full/031.png,Nidoqueen's body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,Nidoqueen's body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,"4' 03""",Drill,132.3 lbs,"['Poison', 'Ground']","['Ground', 'Ice', 'Psychic', 'Water']","['#029', '#030', '#031']",['Poison Point'],0,20 ,Undiscovered ,#030,(use Moon Stone),227,Drill Pokémon,0,100,Sheer Force,45,5120,90,92,87,75,85,76,"Nidoqueen is better at defense than offense. With scales like armor, this Pokémon will shield its children from any kind of attack.",Normal,288,70,Medium Fast,"[100, 100, 100, 100, 50, 100, 50, 50, 200, 100, 200, 50, 100, 100, 100, 100, 100, 50]"
Nidoran♂,#032,https://assets.pokemon.com/assets/cms2/img/pokedex/full/032.png,"Nidoran♂ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon's notice.","Nidoran♂ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon's notice.","1' 08""",Poison Pin,19.8 lbs,['Poison'],"['Ground', 'Psychic']","['#032', '#033', '#034']",['Poison Point'],0,20 ,"Field, Monster ",,,55,Poison Pin Pokémon,100,0,Hustle,235,5120,46,57,40,40,40,50,"The horn on a male Nidoran’s forehead contains a powerful poison. This is a very cautious Pokémon, always straining its large ears.",Normal,448,70,Medium Fast,"[100, 100, 100, 100, 50, 100, 50, 50, 200, 100, 200, 50, 100, 100, 100, 100, 100, 50]"
Nidorino,#033,https://assets.pokemon.com/assets/cms2/img/pokedex/full/033.png,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.","Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.","2' 11""",Poison Pin,43.0 lbs,['Poison'],"['Ground', 'Psychic']","['#032', '#033', '#034']",['Poison Point'],0,20 ,"Field, Monster ",#032,(Level 16),128,Poison Pin Pokémon,100,0,Hustle,120,5120,61,72,57,55,55,65,"With a horn that’s harder than diamond, this Pokémon goes around shattering boulders as it searches for a moon stone.",Normal,320,70,Medium Fast,"[100, 100, 100, 50, 100, 100, 100, 100, 200, 50, 100, 100, 100, 100, 100, 100, 50, 100]"
